SKU DA PLATAFORMA,SKU SÊNIOR,PLATAFORMA,,,SANDRINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUYCLOCK,,,,,,,,,,,,,,,,,,,,FECHAMENTO DE ESTOQUE E VENDA,,,
SKU DA BLING,,,,CD SP,,,CD MG,,,MELI SANDRINI SP,,,MELI SANDRINI MG,,,AMAZON SANDRINI SP,,,AMAZON SANDRINI MG,,,MAGALU SANDRINI SP,,,SHOPEE SPORTS SANDRINI SP,,,SHOPEE  MENSWEAR SANDRINI SP,,,DAFITI SANDRINI SP,,,NETSHOES,,,,CD SP,,,CD MG,,,MELI BUYCLOCK SP,,,MELI BUYCLOCK MG,,,MAGALU BUYCLOCKSP,,,AMAZON BUYCLOCK SP,,,SHOPEE BUYCLOCK SP,,,FINAL,,,
SKU COMUM,SKU SÊNIOR,,,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS GERAL,é para colocar
12971287766,12971287766,MAGALU SANDRINI MG,,,,,,,,,,,,,,,,,,,,413,448,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,448,95,sim
12971287790,,MAGALU SANDRINI MG,,,,,,,,,,,,,,,,,,,,46,78,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,78,140,sim
12971287803,,MAGALU SANDRINI MG,,,,,,,,,,,,,,,,,,,,600,614,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,614,72,sim
00002409E,,MELI SANDRINI SP,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,não
00002411E,,MELI SANDRINI SP,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,sim
00BG4100CBGTG,VN0BG4100ADAGCNCN0G0003,MELI SANDRINI SP,,,,,,,,0,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,55,sim
00BG4100CBGTM,VN0BG4100ADAGCNCN0M0002,MELI SANDRINI SP,,,,,,,,0,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,58,sim
00BG4100CBGTP,VN0BG4100ADAGCNCN0P0001,MELI SANDRINI SP,,,,,,,,0,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,sim
00BG4100CBGTXG,VN0BG4100ADAGCNCNG10004,MELI SANDRINI SP,,,,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,sim
