"produto_sk","sku_senior","descricao","familia","marca","codigo_marca","ean_oficial","origem_fiscal","situacao","id_origem","lote_id","data_carga"
1,"020003212",BRINDE TECHNOS,TC - Technos,Technos,TC,"","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
2,"099BRINDELINCE",BRINDE LINCE,LC - Lince,Lince,LC,"","1",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
3,"1300003616",BRINDE MONDAINE,MN - Mondaine,Mondaine,MN,"","1",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
4,"20091L0SVNA4",RELOGIO FEMININO SECULUS,SE - Seculus,Seculus,SE,"7909669157762","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
5,"20091LPSVDA2",RELOGIO FEMININO SECULUS,SE - Seculus,Seculus,SE,"7909669123866","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
6,"20785G0SVNA2",RELÓGIO MASCULINO SECULUS,SE - Seculus,Seculus,SE,"7893689890337","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
7,"20789GOSVNA1",RELÓGIO MASCULINO SECULUS,SE - Seculus,Seculus,SE,"7893689890740","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
8,"20902GOSVNU2",RELOGIO MASCULINO SECULUS,SE - Seculus,Seculus,SE,"7893689956958","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
9,"20929GOSVNA2",RELOGIO SECULUS MASCULINO,SE - Seculus,Seculus,SE,"7909669003045","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
10,"20959GOSVNA3",RELÓGIO MASCULINO SECULUS,SE - Seculus,Seculus,SE,"7909669007715","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
11,"2115KLM1L",RELÓGIO TC MASCULINO,TC - Technos,Technos,TC,"7891530871207","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
12,"2115KLM1R",RELÓGIO MASCULINO TC,TC - Technos,Technos,TC,"7891530155833","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
13,"2115KQB8L",RELÓGIO MASCULINO TECHNOS,TC - Technos,Technos,TC,"7891530329548","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
14,"2115LAQ2M",RELÓGIO MASCULINO TECHNOS,TC - Technos,Technos,TC,"7891530796982","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
15,"2115MPP1K",RELÓGIO MASCULINO TECHNOS,TC - Technos,Technos,TC,"7891530569869","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
16,"2115MWD1P","RELÓGIO MASCULINO TECHNOS0,144",TC - Technos,Technos,TC,"7891530673429","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
17,"2115MXL2P",RELOGIO MASCULINO TECHNOS 2115MXL2P,TC - Technos,Technos,TC,"7891530804588","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
18,"2115MYI1A",RELOGIO MASCULINO TECHNOS 2115MYI1A,TC - Technos,Technos,TC,"7891530892097","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
19,"2115MYI1P",RELÓGIO MASCULINO TC,TC - Technos,Technos,TC,"7891530733499","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
20,"2115MYL1A",RELÓGIO MASCULINO TECHNOS,TC - Technos,Technos,TC,"7891530733475","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
21,"2115NAO1A",RELOGIO MASCULINO TECHNOS 2115NAO1A,TC - Technos,Technos,TC,"7891530892080","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
22,"2115NAO1P",RELÓGIO MASCULINO TC,TC - Technos,Technos,TC,"7891530751752","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
23,"2115NBO1A",RELÓGIO MASCULINO TECHNOS,TC - Technos,Technos,TC,"7891530763366","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
24,"2115NCZ1D",RELÓGIO TECHNOS MASCULINO,TC - Technos,Technos,TC,"7891530793608","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
25,"2115TTS4P",RELÓGIO MASCULINO TECHNOS,TC - Technos,Technos,TC,"7891530793950","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
26,"2115TU1P",RELÓGIO MASCULINO TECHNOS,TC - Technos,Technos,TC,"7891530155987","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
27,"2115TUS1P",RELÓGIO MASCULINO TECHNOS,TC - Technos,Technos,TC,"7891530793943","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
28,"2115TVU1P",RELÓGIO MASCULINO TC,TC - Technos,Technos,TC,"7891530811692","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
29,"2115TWB1P",RELOGIO MASCULINO TECHNOS 2115TWB1P,TC - Technos,Technos,TC,"7891530818998","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
30,"2115TWC1P",RELOGIO MASCULINO TECNHOS,TC - Technos,Technos,TC,"7891530818981","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
31,"2115TWO1P",RELOGIO MASCULINO TECHNOS 2115TWO1P,TC - Technos,Technos,TC,"7891530825491","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
32,"2115TWP1P",RELOGIO MASCULINO TECHNOS 2115TWP1P,TC - Technos,Technos,TC,"7891530825484","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
33,"2115TWV1K",RELOGIO MASCULINO TECHNOS 2115TWV1K,TC - Technos,Technos,TC,"7891530828201","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
34,"2115TXW1C",RELOGIO MASCULINO TECHNOS 2115TXW1C,TC - Technos,Technos,TC,"7891530847615","",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
35,"2115TYN1P",RELÓGIO MASCULINO TC,TC - Technos,Technos,TC,"7891530855696","4",Ativo,,"99dfffbf-1215-4434-b0b0-533e414ba8da",2026-03-08 00:24:42.000
